id,original_title,original_language,genre,overview,popularity,vote_count,vote_average,release_date
274,The Silence of the Lambs,en,"Crime, Thriller, Drama","Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",3.5644,17352,8.346,1991-02-14
569094,Spider-Man: Across the Spider-Verse,en,"Animation, Action, Adventure, Science Fiction","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",28.6409,8098,8.337,2023-05-31
73,American History X,en,Drama,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",6.4988,12207,8.33,1998-07-01
128,もののけ姫,ja,"Adventure, Fantasy, Animation","Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",9.3955,8645,8.324,1997-07-12
105,Back to the Future,en,"Adventure, Comedy, Science Fiction","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",17.1203,21166,8.322,1985-07-03
1184918,The Wild Robot,en,"Animation, Science Fiction, Family, Adventure, Drama","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",16.6695,5567,8.317,2024-09-12
3782,生きる,ja,Drama,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",6.6858,1263,8.315,1952-10-09
207,Dead Poets Society,en,Drama,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",10.4715,12101,8.302,1989-06-02
1585,It's a Wonderful Life,en,"Drama, Family, Fantasy","A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",20.2094,4681,8.3,1946-12-20
101,Léon,fr,"Crime, Drama, Action","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",11.1251,15622,8.299,1994-09-14
10494,PERFECT BLUE,ja,"Animation, Thriller","Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.",9.3192,3000,8.297,1998-02-28
914,The Great Dictator,en,"Comedy, War",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,2.6968,3572,8.289,1940-10-15
599,Sunset Boulevard,en,Drama,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,2.5252,2805,8.288,1950-08-10
3082,Modern Times,en,"Comedy, Drama, Romance","A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",2.9479,3939,8.283,1936-02-05
335,C'era una volta il West,it,"Drama, Western","As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",10.9015,4705,8.281,1968-12-21
77338,Intouchables,fr,"Drama, Comedy",A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,10.3021,18009,8.271,2011-11-02
92321,蛍火の杜へ,ja,"Romance, Animation, Fantasy","One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",0.0033,1184,8.27,2011-09-17
18491,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,ja,"Animation, Science Fiction, Drama, Fantasy","SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",5.6305,1756,8.269,1997-07-19
28,Apocalypse Now,en,"Drama, War","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",7.9641,8765,8.269,1979-05-19
901,City Lights,en,"Comedy, Drama, Romance",A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,2.3164,2358,8.26,1931-02-06
975,Paths of Glory,en,"War, Drama",A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,2.9094,3149,8.259,1957-10-25
8587,The Lion King,en,"Family, Animation, Drama, Adventure","Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",15.325,19208,8.256,1994-06-15
637920,7. Koğuştaki Mucize,tr,Drama,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",4.7829,4505,8.255,2019-10-10
10376,La leggenda del pianista sull'oceano,it,"Drama, Music","The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",3.5195,2373,8.247,1998-10-28
670,올드보이,ko,"Drama, Thriller, Mystery, Action","With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",14.4009,9407,8.244,2003-11-21
447362,Life in a Year,en,"Drama, Romance","A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",3.1046,1947,8.238,2020-11-27
630566,Clouds,en,"Music, Drama, Romance","Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",2.0819,1039,8.238,2020-10-09
299534,Avengers: Endgame,en,"Adventure, Science Fiction, Action","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",16.8872,27016,8.237,2019-04-24
603,The Matrix,en,"Action, Science Fiction","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",24.7992,27110,8.236,1999-03-31
299536,Avengers: Infinity War,en,"Adventure, Action, Science Fiction","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",23.2062,31232,8.235,2018-04-25
508965,Klaus,en,"Animation, Family, Adventure, Comedy, Fantasy","A selfish postman and a reclusive toymaker form an unlikely friendship, delivering joy to a cold, dark town that desperately needs it.",13.6194,4444,8.225,2019-11-08
490132,Green Book,en,"Drama, Comedy, History","Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",9.9962,12437,8.225,2018-11-16
25237,Иди и смотри,ru,"Drama, War","The invasion of a village in Belarus by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",5.2268,1712,8.224,1985-10-17
527641,Five Feet Apart,en,"Romance, Drama","Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",4.2058,5828,8.223,2019-03-14
857,Saving Private Ryan,en,"War, Drama, History","As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",14.3291,16717,8.221,1998-07-24
98,Gladiator,en,"Action, Drama, Adventure","After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",23.2573,20308,8.221,2000-05-04
265177,Mommy,fr,Drama,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",4.6317,2798,8.217,2014-09-19
37257,Witness for the Prosecution,en,"Drama, Mystery, Crime",An ailing barrister agrees to defend a man in a sensational murder trial where the unconvincing testimony of the defendant's wife becomes a subject of confusion.,3.5226,1584,8.215,1957-12-17
16869,Inglourious Basterds,en,"Drama, Thriller, War","In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",13.9884,23500,8.215,2009-08-02
618344,Justice League Dark: Apokolips War,en,"Animation, Action, Adventure, Fantasy","Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",2.7687,1527,8.211,2020-05-05
315162,Puss in Boots: The Last Wish,en,"Animation, Adventure, Fantasy, Comedy, Family","Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",15.1738,8530,8.208,2022-12-07
1124,The Prestige,en,"Drama, Mystery, Science Fiction","A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",11.5029,17033,8.206,2006-10-17
694,The Shining,en,"Horror, Thriller","Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",26.1852,18414,8.206,1980-05-23
50014,The Help,en,Drama,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",10.2442,8780,8.205,2011-08-09
11,Star Wars,en,"Adventure, Action, Science Fiction",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,20.2139,21737,8.203,1977-05-25
441130,Wolfwalkers,en,"Animation, Family, Adventure, Fantasy","In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",4.7035,1315,8.202,2020-10-26
11324,Shutter Island,en,"Drama, Thriller, Mystery","World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",19.5321,25155,8.202,2010-02-14
504253,君の膵臓をたべたい,ja,"Animation, Drama, Romance","After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.",8.4306,1693,8.2,2018-09-01
354912,Coco,en,"Family, Animation, Music, Adventure","Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",16.1755,20494,8.2,2017-10-27
635302,劇場版「鬼滅の刃」無限列車編,ja,"Animation, Action, Fantasy","Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",9.5395,4338,8.2,2020-10-16
490,Det sjunde inseglet,sv,"Fantasy, Drama","When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.",4.7829,3222,8.2,1957-02-16
348,Alien,en,"Horror, Science Fiction","During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",19.5699,15819,8.2,1979-05-25
110420,おおかみこどもの雨と雪,ja,"Animation, Family, Drama, Fantasy","After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.",6.5841,2402,8.2,2012-07-21
